sample_id,text,algorithm_claim,algorithm_substituted_text,about_tesla,substitution_correct,note
anaphora-139197276-33,"In predicting a stock's future price performance, it's crucial to determine whether its current price correctly reflects the intrinsic value of the underlying business and the company's growth prospects.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","In predicting a stock's future price performance, it's crucial to determine whether its current price correctly reflects the intrinsic value of the underlying business and Tesla's growth prospects.",,,
anaphora-140754120-7,It's a wonderful business.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla's a wonderful business.,,,
anaphora-141134038-39,It's the best choice.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla's the best choice.,,,
anaphora-141104220-26,"Ellison owned 22% of the company 15 years ago, but the buybacks and minimal selling have boosted his stake, according to Forbes.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Ellison owned 22% of Tesla 15 years ago, but the buybacks and minimal selling have boosted his stake, according to Forbes.",,,
ceo_only-139905684-33,"Mr Musk posted on X in January: ""Can't wait to start the trial.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
coref-137940251-14,We discussed this extensively in our Q2 2024 Quarterly Commentary.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
anaphora-136907452-7,It also needs to develop a way of generating recurring after-sales revenue.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla also needs to develop a way of generating recurring after-sales revenue.,,,
coref-137591343-24,"""We want the future to look like the future,"" Musk said on the podcast.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"""Tesla want the future to look like the future,"" Musk said on the podcast.",,,
coref-138420812-9,The owner that that he company's Sentry mode helped her share the crash footage with her attorney and the authorities following the crash.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
coref-138300033-18,"The company disclosed that it had 1.1 million FSD subscribers at the end of 2025, which is 38% higher than in 2024.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla disclosed that it had 1.1 million FSD subscribers at the end of 2025, which is 38% higher than in 2024.",,,
anaphora-138295490-8,But the company also saw its first-ever decline in annual revenue.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",But Tesla also saw its first-ever decline in annual revenue.,,,
coref-137228475-5,Denholm said in a letter that Musk was key to the future of the EV maker as it moves beyond being just another car company and basically said that they were in danger of perhaps losing him if this was not approved.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,Denholm said in a letter that Musk was key to the future of Tesla as it moves beyond being just another car company and basically said that they were in danger of perhaps losing him if this was not approved.,,,
coref-140748153-2,"The company stated that the planned increase in production ⁠means it will recruit ​a further 1,000 employees.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,"Tesla stated that the planned increase in production ⁠means it will recruit ​a further 1,000 employees.",,,
coref-138292025-42,The company has started unsupervised Robotaxi service in Austin and continues to improve software performance.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,Tesla has started unsupervised Robotaxi service in Austin and continues to improve software performance.,,,
anaphora-139187955-3,It also offers reduced ground clearance and lacks a rear touchscreen.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla also offers reduced ground clearance and lacks a rear touchscreen.,,,
coref-140112595-25,This means it'll be a mass market EV stock with an energy segment attached.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,This means Tesla'll be a mass market EV stock with an energy segment attached.,,,
ceo_only-140468528-10,"According to Musk: ""It's about believing in the future and thinking that the future will be better than the past.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-141042850-23,"Musk frames the coming decade as “an age of amazing abundance where anyone can have anything they can think of,” and predicts AI will “exceed the sum of human intelligence in about… around five years.”",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-141113423-27,"A Stocktwits user reiterated optimism in SpaceX CEO Elon Musk and said, “I learned never to bet against Elon.”",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-140133917-3,Musk argued that OpenAI's for-profit arm now controls the vast majority of the organization's value.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-138315759-1,"""Elon is an American treasure,"" Burry wrote in a post on the social media platform X on Thursday.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-139903529-14,"The company was also warning investors of risks associated with its in-house AI compute efforts, as well as Musk’s ambitious goal of having orbital datacenters and colonies on Mars.",The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
anaphora-141104907-24,"It operates free of advertiser influence, dedicated to helping everyday Americans understand and act on the forces shaping their wealth.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Tesla operates free of advertiser influence, dedicated to helping everyday Americans understand and act on the forces shaping their wealth.",,,
anaphora-141080219-27,Investors instead focused on the continued rise in capital spending and the fact that free cash flow turned negative for the first time in the company's history.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Investors instead focused on the continued rise in capital spending and the fact that free cash flow turned negative for the first time in Tesla's history.,,,
anaphora-141142305-10,It also contributed to the 56% year-over-year increase in FSD subscriptions.,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Tesla also contributed to the 56% year-over-year increase in FSD subscriptions.,,,
coref-137884563-4,It overturned a 2024 decision that voided the $140 billion deal.,The sentence does not name Tesla. A COREFERENCE MODEL decided a pronoun or phrase in it refers to Tesla.,,,,
ceo_only-136502638-10,"From that, Musk wrote that he would use the money from that car's sales ""to build an affordable car.""",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-140743075-1,"Jeff Bezos ' companies are taking on Elon Musk 's businesses on two fronts, as Amazon.com Inc. owned Zoox unveiled its updated Robotaxi while Bezos-owned Blue Origin showcased new technology aimed at future Mars missions.",The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
ceo_only-139247003-28,Musk predicted 500 robotaxis in Austin by the end of 2025.,The sentence mentions Tesla's CEO (Musk) but not Tesla itself. The pipeline flagged it as CEO-related and did NOT tag it as being about Tesla.,,,,
anaphora-140035346-5,"Musk accuses his OpenAI co-founders Altman and Greg Brockman of breaking the founding agreement of the company to build AI to benefit humanity, instead shifting the non-profit to a for-profit structure and unjustly enriching themselves along the way.","The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.","Musk accuses his OpenAI co-founders Altman and Greg Brockman of breaking the founding agreement of Tesla to build AI to benefit humanity, instead shifting the non-profit to a for-profit structure and unjustly enriching themselves along the way.",,,
anaphora-138291523-8,Much of that value hangs on investors' beliefs that Musk will deliver on lofty promises of delivering robotaxis and humanoid robots backed by the company's ​investment in artificial intelligence .,"The sentence does not name Tesla. A RECENCY HEURISTIC decided a phrase in it ('the company', 'It', 'the automaker') refers to Tesla, because Tesla was the most recently named company.",Much of that value hangs on investors' beliefs that Musk will deliver on lofty promises of delivering robotaxis and humanoid robots backed by Tesla's ​investment in artificial intelligence .,,,
