sample_id,fine_rank
absa_flat-136885569-16,-2
absa_flat-139902984-13,3
agree_strong-137258402-27,2
agree_strong-137258403-21,3
agree_strong-138421159-6,2
agree_strong-139911266-5,3
agree_weak-136536283-42,-3
agree_weak-137228479-92,1
agree_weak-137649799-22,-2
agree_weak-137941906-29,1
agree_weak-139259558-18,1
agree_weak-140035348-24,2
disagree_comparative-138306068-44,-1
disagree_comparative-139579133-3,-1
disagree_comparative-139926442-8,-2
disagree_comparative-141140367-0,2
disagree_comparative-141146266-51,-2
disagree_plain-136536120-26,-1
disagree_plain-137247798-105,-1
disagree_plain-139912041-21,-3
disagree_plain-140113423-3,-2
disagree_plain-140760286-7,1
disagree_plain-140770044-18,-1
resolved-136563659-6,-2
resolved-137228485-30,3
resolved-137589116-18,1
resolved-138290190-9,-3
resolved-138302984-24,-2
resolved-139563821-4,2
resolved-139582672-30,3
