sample_id,label
resolved-141122355-124,0.5
disagree_comparative-140427269-0,0.0
disagree_plain-139556100-13,0.5
disagree_comparative-136509403-0,0.0
absa_flat-139923125-7,0.0
disagree_comparative-141061122-3,0.0
absa_flat-136476535-31,0.0
agree_strong-136541201-15,-1.0
disagree_plain-139191696-3,0.0
agree_strong-140727363-9,-0.5
absa_flat-139553621-24,-0.5
agree_strong-139546197-4,0.5
agree_strong-139911266-5,1.0
agree_strong-139165536-16,-1.0
absa_flat-136913564-12,0.0
disagree_comparative-137215870-0,0.5
agree_strong-137230896-7,0.5
agree_weak-141119242-16,0.0
agree_strong-137878306-11,0.5
disagree_comparative-136855449-0,0.0
agree_strong-136557738-3,0.5
agree_weak-137611213-16,-0.5
agree_weak-140770027-23,0.0
disagree_comparative-140725566-60,-0.5
resolved-140776211-13,0.0
agree_weak-138447795-11,0.0
resolved-140735748-5,0.5
agree_strong-137258403-21,1.0
resolved-137228479-63,-0.5
disagree_plain-136915646-8,-0.5
resolved-138307221-487,0.0
disagree_plain-141117195-184,0.0
disagree_comparative-139559196-17,-0.5
resolved-138302984-24,-0.5
absa_flat-141109788-16,0.0
agree_strong-137614378-45,-0.5
disagree_comparative-140739083-1,-0.5
disagree_plain-141048235-23,-0.5
resolved-140450593-23,0.0
resolved-136536283-41,-0.5
resolved-141068210-22,-1.0
disagree_plain-136933989-9,-0.5
disagree_comparative-141043455-35,0.0
agree_strong-137258402-27,0.5
absa_flat-139197276-33,0.0
agree_strong-139235358-36,-0.5
agree_weak-137601489-21,0.5
agree_weak-140776211-12,0.0
resolved-137278474-18,0.0
disagree_plain-141148586-12,0.5
agree_weak-138291030-10,0.0
resolved-138297103-9,0.0
agree_strong-139577822-13,-1.0
disagree_plain-137941909-0,0.5
resolved-136557640-28,0.5
disagree_plain-137260277-6,-0.5
resolved-137228482-27,-0.5
disagree_comparative-141066689-1,0.5
absa_flat-137934628-52,0.0
agree_weak-140457037-8,-0.5
absa_flat-136865903-49,0.5
disagree_comparative-138495312-23,-0.5
absa_flat-138304026-9,0.0
agree_strong-141068222-17,-0.5
absa_flat-140771555-4,0.5
agree_strong-139247003-40,-1.0
agree_strong-138303538-19,0.5
disagree_plain-140424237-4,-0.5
agree_strong-139249914-75,0.5
absa_flat-136502644-1,0.0
absa_flat-139902984-13,1.0
agree_weak-141052886-1,0.0
resolved-136563659-6,-0.5
disagree_plain-140770791-10,0.0
agree_weak-138307212-20,-0.5
absa_flat-139928252-25,0.0
agree_weak-137941906-29,0.5
agree_strong-140728381-10,-0.5
agree_weak-136913563-77,0.5
disagree_plain-140491731-25,-0.5
resolved-139239742-13,-1.0
resolved-138290190-9,-1.0
agree_weak-138312567-12,-0.5
absa_flat-136573023-11,0.0
absa_flat-136861499-32,0.0
absa_flat-139903984-3,0.0
agree_weak-136530048-2,0.0
disagree_comparative-136507791-66,-0.5
agree_weak-139058591-0,0.0
agree_strong-136502638-35,0.5
resolved-136568948-3,1.0
agree_strong-136913563-63,1.0
resolved-141122355-471,0.5
absa_flat-141103169-258,0.0
agree_strong-139896705-23,0.5
absa_flat-137591345-3,0.5
disagree_plain-136861499-0,0.0
disagree_plain-137247798-105,-0.5
resolved-139189465-14,-0.5
agree_weak-136568946-8,0.5
disagree_comparative-141140367-0,0.5
disagree_plain-136536120-26,-0.5
disagree_plain-139909134-23,-0.5
absa_flat-136885569-16,-0.5
disagree_plain-140760286-7,0.5
agree_weak-140771169-2,0.0
disagree_plain-137649810-25,-0.5
disagree_plain-137589125-5,0.0
agree_strong-140443327-8,0.0
agree_strong-136536279-31,1.0
disagree_plain-141135352-17,-0.5
agree_strong-139196875-15,0.0
absa_flat-141137158-8,0.0
resolved-138421193-7,0.5
disagree_plain-139581439-3,0.0
agree_weak-138317848-21,-0.5
agree_weak-141125703-22,0.0
agree_strong-137268570-23,0.5
disagree_comparative-137601353-12,0.0
agree_strong-137908145-0,1.0
agree_weak-137578743-10,0.5
agree_strong-141049045-5,0.5
absa_flat-140733574-4,0.0
disagree_comparative-137266456-0,0.0
agree_weak-137649799-12,0.5
agree_weak-139235358-43,-0.5
resolved-141109938-33,0.5
agree_strong-141051091-21,-0.5
absa_flat-137897192-41,0.0
agree_weak-139248416-18,0.0
resolved-141104218-13,1.0
absa_flat-140420918-21,0.0
agree_weak-140757298-19,0.0
absa_flat-139570229-6,0.5
disagree_plain-139916552-12,-0.5
agree_strong-136557730-13,-1.0
disagree_comparative-136933989-27,-0.5
disagree_comparative-141076136-0,0.0
agree_strong-141076136-5,0.0
agree_strong-136478880-12,-1.0
disagree_comparative-141146266-51,-0.5
agree_weak-139167808-13,0.5
resolved-136502641-19,0.0
agree_weak-141107636-1,-0.5
disagree_plain-137908149-15,0.5
absa_flat-137230896-14,0.0
disagree_comparative-138929005-24,-0.5
disagree_plain-138293131-12,0.5
absa_flat-139248418-2,0.0
agree_weak-137649799-22,-0.5
resolved-139580179-3,0.5
agree_strong-138310188-13,-0.5
absa_flat-136882833-12,0.5
agree_strong-136933981-1,1.0
agree_strong-139923160-17,0.5
agree_weak-139259558-18,0.0
agree_weak-137228479-18,0.5
agree_strong-141137164-20,0.5
disagree_plain-140443910-22,0.0
absa_flat-141063911-11,0.0
disagree_plain-136885566-7,0.5
agree_strong-141043581-73,-1.0
absa_flat-136581241-33,0.0
absa_flat-137619049-6,0.0
resolved-136865953-10,1.0
disagree_plain-136865903-30,0.0
disagree_plain-138304567-4,0.0
resolved-137589125-34,0.0
resolved-139223903-13,-0.5
resolved-139908240-13,-0.5
agree_strong-137258403-15,-1.0
disagree_comparative-137589065-14,-1.0
disagree_plain-141080285-18,-0.5
agree_weak-137228479-92,0.5
resolved-139581433-22,-0.5
agree_weak-141127412-15,-0.5
agree_strong-141148585-17,0.0
disagree_plain-140770044-18,-0.5
resolved-136507876-3,-0.5
absa_flat-139248418-23,0.0
agree_strong-138295575-12,-0.5
disagree_comparative-138293770-15,-1.0
agree_weak-136536283-42,-0.5
agree_weak-137243115-6,0.0
resolved-139582672-30,1.0
absa_flat-141109840-58,-0.5
agree_weak-140468096-2,0.5
resolved-140455710-50,0.0
agree_weak-139265366-13,0.5
absa_flat-139570229-3,0.5
resolved-139577778-20,-0.5
disagree_comparative-141051091-10,0.0
absa_flat-141122355-404,0.5
disagree_comparative-140453397-0,-0.5
