sample_id,referent,refers_to_tesla,substitution_span_ok,note
coref-136882888-19,Tesla,TRUE,NA,no highlighted phrase - judged sentence topic
coref-138304567-12,Tesla,TRUE,TRUE,
anaphora-138291548-16,Pilot Travel Centers,FALSE,TRUE,refers to Pilot Travel Centers
anaphora-141134038-6,the acceleration of an electric car,FALSE,FALSE,"refers to an abstract point, not the company; broken grammar - duplicated subject"
coref-141122355-351,Tesla,TRUE,FALSE,subject-verb disagreement
coref-139176490-12,the Tesla owner (a person),FALSE,NA,"no highlighted phrase - sentence subject is a person, not the company"
anaphora-136525621-19,Ferrari,FALSE,FALSE,refers to Ferrari; contraction verb dropped
anaphora-137908143-3,the NHTSA defect investigation,FALSE,TRUE,"refers to an event or situation, not the company"
coref-137230899-32,Tesla,TRUE,FALSE,possessive marker dropped
coref-137950141-8,Tesla,TRUE,FALSE,possessive marker dropped
coref-141109938-11,Tesla,TRUE,FALSE,contraction verb dropped
coref-136904016-17,Tesla,TRUE,FALSE,possessive marker dropped
anaphora-136560785-29,Virta Global,FALSE,FALSE,refers to Virta Global; possessive marker dropped
coref-141071392-27,Tesla,TRUE,TRUE,
coref-138290179-18,Tesla,TRUE,FALSE,split a contraction
anaphora-136581241-43,generic - any company being analysed,FALSE,FALSE,generic boilerplate reference - no specific company; possessive marker dropped
anaphora-140474600-3,Broadcom,FALSE,FALSE,refers to Broadcom; possessive marker dropped
anaphora-136476569-6,Li Auto,FALSE,TRUE,refers to Li Auto
coref-140475855-25,Tesla,TRUE,FALSE,possessive marker dropped
anaphora-139208002-3,Palantir,FALSE,TRUE,refers to Palantir
anaphora-138298479-19,Tesla's all-in-on-FSD strategy,FALSE,TRUE,"refers to an event or situation, not the company"
anaphora-141080219-29,Alphabet,FALSE,TRUE,refers to Alphabet
anaphora-141083615-18,Oracle,FALSE,TRUE,refers to Oracle
coref-138295575-3,Tesla,TRUE,TRUE,
anaphora-136851471-14,Telo,FALSE,TRUE,refers to Telo
coref-137878305-2,Tesla (its stock),TRUE,FALSE,possessive marker dropped
coref-137897202-31,Tesla,TRUE,TRUE,
anaphora-141054986-15,Volvo,FALSE,TRUE,refers to Volvo
coref-141103169-204,Tractor Supply,FALSE,FALSE,refers to Tractor Supply; subject-verb disagreement
coref-138294592-2,Tesla,TRUE,TRUE,
coref-141043581-26,Tesla,TRUE,NA,no highlighted phrase - judged sentence topic
anaphora-139210532-32,Tesla,TRUE,TRUE,
anaphora-141042487-17,ContourGlobal,FALSE,TRUE,refers to ContourGlobal
coref-139196875-30,Tesla,TRUE,FALSE,possessive marker dropped
anaphora-140724565-1,Socure,FALSE,FALSE,refers to Socure; possessive marker dropped
coref-141135440-8,Tesla (its valuation),TRUE,NA,no highlighted phrase - judged sentence topic
anaphora-141041708-25,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
coref-137649812-14,Tesla,TRUE,FALSE,possessive marker dropped
coref-136882881-30,Tesla bulls (investors),FALSE,FALSE,"refers to investors, not the company; subject-verb disagreement"
anaphora-140444679-19,the CNBC report,FALSE,TRUE,"refers to a news report, not a company"
coref-140476858-11,Brookfield Asset Management,FALSE,NA,no highlighted phrase - sentence not about Tesla
anaphora-140771866-9,Wayve,FALSE,TRUE,refers to Wayve
coref-139906867-4,Tesla,TRUE,FALSE,subject-verb disagreement
coref-141122355-268,Tesla,TRUE,FALSE,subject-verb disagreement
anaphora-136904014-18,no referent - dummy subject,FALSE,TRUE,dummy subject - refers to nothing
coref-139577775-21,Tesla (its stock),TRUE,FALSE,possessive marker dropped
coref-138507182-1,the TSLZ inverse ETF,FALSE,NA,"no highlighted phrase - refers to an ETF, not the company"
coref-137878314-6,Tesla (its shares),TRUE,NA,no highlighted phrase - judged sentence topic
coref-141122355-15,Tesla,TRUE,TRUE,
coref-139592998-23,Rivian,FALSE,TRUE,refers to Rivian
anaphora-139908240-64,Model 3 / Model Y production,FALSE,TRUE,"refers to a product, not the company"
anaphora-136557736-10,the 10% growth-rate assumption,FALSE,TRUE,"refers to a metric/figure, not a company"
coref-141135779-3,SpaceX,FALSE,FALSE,refers to SpaceX; possessive marker dropped
anaphora-139247002-8,Tesla,TRUE,TRUE,
anaphora-137278474-18,Meta,FALSE,FALSE,refers to Meta; possessive marker dropped
anaphora-140456326-16,Optimus (the robot),FALSE,TRUE,"refers to a product, not the company"
anaphora-137897202-10,no referent - dummy subject,FALSE,TRUE,dummy subject - refers to nothing
anaphora-141046220-25,Meta,FALSE,FALSE,refers to Meta; contraction verb dropped
anaphora-139570815-24,Optimus (the robot),FALSE,TRUE,"refers to a product, not the company"
coref-137591343-18,the Cybertruck,FALSE,FALSE,"refers to a product, not the company; contraction verb dropped"
anaphora-141120277-33,Direxion,FALSE,TRUE,refers to Direxion
coref-139592411-1,Tesla (its stock),TRUE,TRUE,
anaphora-138404414-17,Xiaomi,FALSE,TRUE,refers to Xiaomi
coref-140749915-52,the Tesla Semi truck,FALSE,TRUE,"refers to a product, not the company"
anaphora-139544900-5,Suzhou Maxwell Technologies,FALSE,TRUE,refers to Suzhou Maxwell Technologies
coref-137258402-35,Tesla,TRUE,FALSE,possessive marker dropped
coref-141066276-28,Tesla,TRUE,FALSE,possessive marker dropped
coref-137228481-5,Tesla,TRUE,FALSE,subject-verb disagreement
anaphora-136907452-7,a generic automaker,FALSE,TRUE,generic reference - no specific company
anaphora-138674128-3,Counterpoint Research,FALSE,TRUE,refers to Counterpoint Research
coref-137247798-105,Tesla (management on the call),TRUE,TRUE,
anaphora-136904018-2,Mizuho,FALSE,TRUE,refers to Mizuho
anaphora-138507182-22,the TSLZ inverse ETF,FALSE,FALSE,"refers to an ETF, not the company; possessive marker dropped"
coref-137649794-22,Tesla,TRUE,TRUE,
anaphora-141045119-36,Miso Robotics,FALSE,FALSE,refers to Miso Robotics; possessive marker dropped
anaphora-140059716-1,Tesla (its stock),TRUE,TRUE,
anaphora-139197276-33,generic - any company being analysed,FALSE,FALSE,generic boilerplate reference - no specific company; possessive marker dropped
coref-139587333-11,Tesla,TRUE,FALSE,possessive marker dropped
coref-139587333-16,the GF Value estimate,FALSE,TRUE,"refers to a metric/figure, not a company"
coref-138704179-18,Tesla,TRUE,TRUE,
anaphora-136907450-64,the Lightship trailer,FALSE,TRUE,"refers to a product, not the company"
coref-141122355-358,Tesla,TRUE,FALSE,subject-verb disagreement
coref-137878241-7,Tesla (its stock),TRUE,FALSE,possessive marker dropped
anaphora-141056844-33,ARK Invest,FALSE,TRUE,refers to ARK Invest
anaphora-139235358-12,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
anaphora-140113423-12,Tesla,TRUE,TRUE,
anaphora-136495983-26,the Austin robotaxi pilot program,FALSE,FALSE,"refers to an event or situation, not the company; contraction verb dropped"
anaphora-139897831-18,driverless ride-hailing adoption,FALSE,FALSE,"refers to an event or situation, not the company; contraction verb dropped"
anaphora-136536120-27,Aurora Innovation,FALSE,TRUE,refers to Aurora Innovation
anaphora-140445167-4,XPeng,FALSE,FALSE,refers to XPeng; possessive marker dropped
anaphora-141054039-21,no referent - dummy subject,FALSE,TRUE,dummy subject - refers to nothing
coref-138295573-8,Tesla,TRUE,FALSE,possessive marker dropped
coref-140748094-18,Tesla,TRUE,TRUE,
coref-136915583-3,Tesla (its stock),TRUE,TRUE,
coref-140035348-18,Tesla,TRUE,TRUE,
coref-139915916-4,Tesla,TRUE,TRUE,
coref-136855474-13,Larry Ellison,FALSE,NA,"no highlighted phrase - sentence subject is a person, not the company"
anaphora-138290123-8,Tesla,TRUE,TRUE,
anaphora-141129157-13,Alibaba,FALSE,TRUE,refers to Alibaba
anaphora-141121165-15,Rocket Lab,FALSE,TRUE,refers to Rocket Lab
anaphora-137268655-14,OpenAI,FALSE,TRUE,refers to OpenAI
coref-136907449-21,Tesla's new affordable vehicle,FALSE,NA,"no highlighted phrase - sentence about a product, not the company"
anaphora-140771169-9,FSD (Tesla's driver-assistance system),FALSE,TRUE,"refers to a product, not the company"
coref-140112595-25,Tesla,TRUE,FALSE,split a contraction
coref-138704179-2,Jack Dorsey / the Cybertruck,FALSE,NA,"no highlighted phrase - sentence about a person and a product, not the company"
coref-140735748-27,Tesla,TRUE,TRUE,
coref-141065332-1,Tesla,TRUE,TRUE,
anaphora-138299999-144,Slackbot,FALSE,TRUE,"refers to a product, not the company"
anaphora-138307221-15,the robotaxi announcement,FALSE,FALSE,"refers to an event or situation, not the company; contraction verb dropped"
anaphora-138307221-85,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
coref-139589567-2,Tesla,TRUE,NA,no highlighted phrase - judged sentence topic
anaphora-139896705-14,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
anaphora-138313506-18,Tesla,TRUE,TRUE,
anaphora-139905743-4,X Money (the X payments service),FALSE,TRUE,"refers to a product, not the company"
coref-137228483-17,Tesla,TRUE,TRUE,
coref-136888227-2,Tesla (its stock),TRUE,TRUE,
coref-138452374-7,Tesla,TRUE,TRUE,
anaphora-141134036-13,Direxion,FALSE,TRUE,refers to Direxion
coref-141122355-200,Tesla,TRUE,FALSE,subject-verb disagreement
coref-136478886-32,Tesla (its stock),TRUE,TRUE,
anaphora-137591345-9,Novo Nordisk,FALSE,FALSE,refers to Novo Nordisk; possessive marker dropped
anaphora-137266452-12,the glued-parts defect/recall,FALSE,TRUE,"refers to an event or situation, not the company"
anaphora-138442818-22,the ETSY option sweep,FALSE,TRUE,"refers to an option contract, not a company"
anaphora-139577822-25,Optimus (the robot),FALSE,TRUE,"refers to a product, not the company"
coref-140729332-12,Tesla,TRUE,FALSE,possessive marker dropped
anaphora-141042481-10,Zelestra,FALSE,TRUE,refers to Zelestra
anaphora-140737929-3,Lingyi iTech Guangdong,FALSE,FALSE,refers to Lingyi iTech Guangdong; possessive marker dropped
anaphora-136904018-3,Mizuho,FALSE,TRUE,refers to Mizuho
coref-138307221-169,Apple,FALSE,FALSE,refers to Apple; split a contraction
coref-140749915-22,a California small fleet buyer / the Semi,FALSE,NA,"no highlighted phrase - sentence about a buyer and a product, not the company"
anaphora-139564933-16,no referent - dummy subject,FALSE,FALSE,dummy subject - refers to nothing; contraction verb dropped
anaphora-138299970-8,Tesla,TRUE,TRUE,
anaphora-139231686-18,XPeng,FALSE,TRUE,refers to XPeng
coref-141122355-430,Tesla,TRUE,FALSE,subject-verb disagreement
coref-141051091-6,RBC Capital,FALSE,NA,"no highlighted phrase - sentence about an analyst firm, not Tesla"
coref-140748153-9,Tesla,TRUE,TRUE,
