sample_id,stratum,article_id,sent_idx,text,mentions_target,mentions_ceo,is_comparative,target_is_subject,resolved_by_anaphora,resolved_by_coref,is_boilerplate,char_len,anaphor_char_start,anaphor_char_end,pos,neg,neu,absa_text,absa_aspect,absa_pos,absa_neg,absa_neu
absa_flat-136476535-31,absa_flat,136476535,31,"Two months after Tesla rolled out its first commercial robotaxi service in Austin, the big question is—how's it really going?",True,False,False,True,False,False,False,125,,,0.06197158992290497,0.020969092845916748,0.9170593619346619,"Two months after Tesla rolled out its first commercial robotaxi service in Austin, the big question is—how's it really going?",Tesla,0.06034649536013603,0.008225719444453716,0.9314278960227966
absa_flat-136502639-10,absa_flat,136502639,10,"we we we own our own drones, we build our own drones, we manufacture our own drones.",True,False,False,False,False,True,False,84,6,8,0.03580930829048157,0.02477451041340828,0.9394161701202393,"we we Tesla own our own drones, we build our own drones, we manufacture our own drones.",Tesla,0.00648934580385685,0.004070948343724012,0.9894396662712097
absa_flat-136502644-1,absa_flat,136502644,1,"It initially attracted a lot of attention because it was led by Peter Rawlinson, Tesla 's ( TSLA +3.80% ) former chief vehicle engineer who developed the Model S. Lucid started delivering its Air sedan that October.",True,False,True,False,False,False,False,215,,,0.12094654887914658,0.010466269217431545,0.8685871362686157,"It initially attracted a lot of attention because it was led by Peter Rawlinson, Tesla 's ( TSLA +3.80% ) former chief vehicle engineer who developed the Model S. Lucid started delivering its Air sedan that October.",Tesla,0.08763384073972702,0.009251261129975319,0.903114914894104
absa_flat-136507773-11,absa_flat,136507773,11,TSLA PE Ratio (Forward) data by YCharts.,True,False,False,False,False,False,False,40,,,0.025693221017718315,0.027916431427001953,0.9463903307914734,TSLA PE Ratio (Forward) data by YCharts.,Tesla,0.010942085646092892,0.016900088638067245,0.9721578359603882
absa_flat-136573023-11,absa_flat,136573023,11,"Related articles Piper Sandler: Tesla Gigafactory tour highlights robo-taxi, Semi, and Optimus plan Clients buying into summer rally, bracing for later pullback, says BofA's Hartnett Apollo economist warns: AI bubble now bigger than 1990s tech mania",True,False,False,True,False,False,False,249,,,0.17650149762630463,0.39526328444480896,0.42823517322540283,"Related articles Piper Sandler: Tesla Gigafactory tour highlights robo-taxi, Semi, and Optimus plan Clients buying into summer rally, bracing for later pullback, says BofA's Hartnett Apollo economist warns: AI bubble now bigger than 1990s tech mania",Tesla,0.057829853147268295,0.0841563269495964,0.8580137491226196
absa_flat-136581241-33,absa_flat,136581241,33,Tesla currently trades at a P/S ratio of 11.61x.,True,False,False,True,False,False,False,48,,,0.037793029099702835,0.017083408311009407,0.9451236128807068,Tesla currently trades at a P/S ratio of 11.61x.,Tesla,0.022090250626206398,0.00914577767252922,0.9687640070915222
absa_flat-136861499-32,absa_flat,136861499,32,Whether a stock's current price rightly reflects the intrinsic value of the underlying business and the company's growth prospects is an essential determinant of its future price performance.,True,False,False,False,True,False,False,191,100,111,0.07222828269004822,0.02201462723314762,0.9057571291923523,Whether a stock's current price rightly reflects the intrinsic value of the underlying business and Tesla's growth prospects is an essential determinant of its future price performance.,Tesla,0.014777801930904388,0.002607739297673106,0.9826144576072693
absa_flat-136865903-49,absa_flat,136865903,49,"Autonomous fleets could slash fares, boost availability, and rival taxis and apps, powering Tesla’s next growth engine while staying true to its sustainable energy mission.",True,False,False,False,False,False,False,172,,,0.7835800647735596,0.01466821413487196,0.20175175368785858,"Autonomous fleets could slash fares, boost availability, and rival taxis and apps, powering Tesla’s next growth engine while staying true to its sustainable energy mission.",Tesla,0.04534923657774925,0.005130300763994455,0.949520468711853
absa_flat-136882833-12,absa_flat,136882833,12,Tesla claims Optimus could one day represent 80% of its future value.,True,False,False,True,False,False,False,69,,,0.3358207643032074,0.009553512558341026,0.6546257138252258,Tesla claims Optimus could one day represent 80% of its future value.,Tesla,0.01602305844426155,0.006841813214123249,0.977135181427002
absa_flat-136885569-16,absa_flat,136885569,16,"But Musk's warning doesn't mention his reputational hit stemming from his political involvement in the Trump administration, the rise of more competition, and consumer preferences for vehicles like hybrids that have Tesla and the EV industry as a whole worried.",True,True,False,False,False,False,False,261,,,0.12142457813024521,0.4486674666404724,0.4299079477787018,"But Musk's warning doesn't mention his reputational hit stemming from his political involvement in the Trump administration, the rise of more competition, and consumer preferences for vehicles like hybrids that have Tesla and the EV industry as a whole worried.",Tesla,0.02150738425552845,0.07078792154788971,0.9077046513557434
absa_flat-136913564-12,absa_flat,136913564,12,"Start with what we know: Tesla delivered about 384,000 vehicles in the second quarter, it delivered roughly 463,000 in last year's third quarter, and outside Europe there are mixed but not universally negative signals.",True,False,False,True,False,False,False,218,,,0.018787316977977753,0.9066041707992554,0.0746084675192833,"Start with what we know: Tesla delivered about 384,000 vehicles in the second quarter, it delivered roughly 463,000 in last year's third quarter, and outside Europe there are mixed but not universally negative signals.",Tesla,0.04230918735265732,0.07124246656894684,0.8864483833312988
absa_flat-137230896-14,absa_flat,137230896,14,"​You can read her full letter to Tesla shareholders below: For this story, Fortune used generative AI to help with an initial draft.",True,False,False,False,False,False,False,132,,,0.046213939785957336,0.015217509120702744,0.9385684728622437,"​You can read her full letter to Tesla shareholders below: For this story, Fortune used generative AI to help with an initial draft.",Tesla,0.0031173592433333397,0.002084519015625119,0.9947980642318726
absa_flat-137247798-95,absa_flat,137247798,95,They're releasing their next generational battery storage system.,True,False,False,False,False,True,False,65,0,4,0.2076299637556076,0.010848131962120533,0.7815219163894653,Tesla're releasing their next generational battery storage system.,Tesla,0.05740295723080635,0.003329820930957794,0.9392671585083008
absa_flat-137591345-3,absa_flat,137591345,3,Musk said his engineering team has already designed and deployed several million AI chips in its cars and data centers.,True,True,False,False,False,True,False,119,93,96,0.267897367477417,0.008918959647417068,0.7231836915016174,Musk said his engineering team has already designed and deployed several million AI chips in Tesla's cars and data centers.,Tesla,0.03140801936388016,0.005462976638227701,0.9631289839744568
absa_flat-137592686-34,absa_flat,137592686,34,"In the U.S., Tesla's home turf, sales of EVs rose from 1.2 to 1.3 million.",True,False,False,True,False,False,False,74,,,0.954592227935791,0.016746705397963524,0.028661098331212997,"In the U.S., Tesla's home turf, sales of EVs rose from 1.2 to 1.3 million.",Tesla,0.04815634712576866,0.005171244032680988,0.9466723799705505
absa_flat-137619049-6,absa_flat,137619049,6,"Namely, he has been placing a greater emphasis on Optimus robots and robotaxis.",True,False,False,False,False,True,False,79,,,0.14092384278774261,0.011150890961289406,0.8479253053665161,"Namely, he has been placing a greater emphasis on Optimus robots and robotaxis.",Tesla,0.0217549167573452,0.004863189999014139,0.9733818769454956
absa_flat-137897192-41,absa_flat,137897192,41,"Part of Musk's massive incentive plan at Tesla, which is valued at as much as $1 trillion with stock options, is contingent on his successfully building 1 million Optimus robots.",True,True,False,True,False,False,False,178,,,0.3797830045223236,0.008223914541304111,0.611993134021759,"Part of Musk's massive incentive plan at Tesla, which is valued at as much as $1 trillion with stock options, is contingent on his successfully building 1 million Optimus robots.",Tesla,0.03443979471921921,0.014843002893030643,0.9507171511650085
absa_flat-137934628-52,absa_flat,137934628,52,It’s… Tesla (NASDAQ:,True,False,False,False,False,False,False,20,,,0.05338577181100845,0.017883507534861565,0.9287307262420654,It’s… Tesla (NASDAQ:,Tesla,0.005987315904349089,0.0015956256538629532,0.9924170970916748
absa_flat-137950136-6,absa_flat,137950136,6,"The Tesla Semi pilot took place in Livermore, Calif. over two weeks in October 2026, where the all-electric truck covered over 3,000 miles of regular routes.",True,False,False,True,False,False,False,157,,,0.0702163428068161,0.013849371112883091,0.9159342646598816,"The Tesla Semi pilot took place in Livermore, Calif. over two weeks in October 2026, where the all-electric truck covered over 3,000 miles of regular routes.",Tesla,0.0520922876894474,0.004072196781635284,0.9438354969024658
absa_flat-138304026-9,absa_flat,138304026,9,"Fremont Factory Use: Tesla will retool its Fremont, California, factory to begin production of the Optimus humanoid robot.",True,False,False,True,False,False,False,122,,,0.15796619653701782,0.009983884170651436,0.8320499062538147,"Fremont Factory Use: Tesla will retool its Fremont, California, factory to begin production of the Optimus humanoid robot.",Tesla,0.02107262797653675,0.0061483364552259445,0.9727789759635925
absa_flat-138432280-5,absa_flat,138432280,5,"However, the company's Robotaxi operations could be at a smaller scale than what was originally planned, according to a Robotaxi tracker developed by a student.",True,False,False,False,False,True,False,160,9,22,0.044930167496204376,0.270279198884964,0.6847906708717346,"However, Tesla's Robotaxi operations could be at a smaller scale than what was originally planned, according to a Robotaxi tracker developed by a student.",Tesla,0.0033707215916365385,0.04851284995675087,0.9481164216995239
absa_flat-138723707-15,absa_flat,138723707,15,Tesla (NASDAQ: TSLA ) CEO Elon Musk recognized the important role of H‑1B workers in the U.S. but urged a balanced approach to immigration.,True,True,False,True,False,False,False,139,,,0.4099982976913452,0.02034224383533001,0.5696594715118408,Tesla (NASDAQ: TSLA ) CEO Elon Musk recognized the important role of H‑1B workers in the U.S. but urged a balanced approach to immigration.,Tesla,0.023397697135806084,0.0033570441883057356,0.9732452630996704
absa_flat-139167808-2,absa_flat,139167808,2,Here's why Tesla is ending production of two of its EVs.,True,False,False,True,False,False,False,56,,,0.008811503648757935,0.9425511360168457,0.048637423664331436,Here's why Tesla is ending production of two of its EVs.,Tesla,0.0027677842881530523,0.025883782655000687,0.9713484644889832
absa_flat-139196875-5,absa_flat,139196875,5,Investors are also paying attention to Tesla's core car business — the company's main source of revenue.,True,False,False,False,False,False,False,104,,,0.3114059269428253,0.01117378007620573,0.6774203181266785,Investors are also paying attention to Tesla's core car business — the company's main source of revenue.,Tesla,0.01991814188659191,0.00784373003989458,0.9722380638122559
absa_flat-139197276-33,absa_flat,139197276,33,"In predicting a stock's future price performance, it's crucial to determine whether its current price correctly reflects the intrinsic value of the underlying business and the company's growth prospects.",True,False,False,False,True,False,False,203,172,183,0.08075349777936935,0.01889336109161377,0.9003531336784363,"In predicting a stock's future price performance, it's crucial to determine whether its current price correctly reflects the intrinsic value of the underlying business and Tesla's growth prospects.",Tesla,0.030957063660025597,0.0051611121743917465,0.9638817310333252
absa_flat-139248418-2,absa_flat,139248418,2,• Tesla stock is taking a breather.,True,False,False,True,False,False,False,35,,,0.03751932457089424,0.8308128118515015,0.1316678524017334,• Tesla stock is taking a breather.,Tesla,0.023294739425182343,0.028710873797535896,0.9479944109916687
absa_flat-139248418-23,absa_flat,139248418,23,The question is how much demand and whether Tesla will publicly share figures or comments on demand.,True,False,False,True,False,False,False,100,,,0.027642227709293365,0.03564814478158951,0.9367097020149231,The question is how much demand and whether Tesla will publicly share figures or comments on demand.,Tesla,0.004582728259265423,0.01250196062028408,0.9829152822494507
absa_flat-139553621-24,absa_flat,139553621,24,"Separately, Musk’s lawyers demanded this week that Delaware Chancellor Kathaleen McCormick recuse herself from two Tesla Inc (NASDAQ: TSLA ) shareholder lawsuits, accusing her of bias after her LinkedIn account appeared to endorse a post celebrating his California loss.",True,True,False,False,False,False,False,270,,,0.021081889048218727,0.8785569667816162,0.10036112368106842,"Separately, Musk’s lawyers demanded this week that Delaware Chancellor Kathaleen McCormick recuse herself from two Tesla Inc (NASDAQ: TSLA ) shareholder lawsuits, accusing her of bias after her LinkedIn account appeared to endorse a post celebrating his California loss.",Tesla,0.018986418843269348,0.0397670716047287,0.9412465691566467
absa_flat-139570229-3,absa_flat,139570229,3,"The Q1 2026 figure also represents an 8% YoY increase from the 336,681 units the company delivered in Q1 2025.",True,False,False,False,False,True,False,110,77,88,0.9512225389480591,0.020011965185403824,0.028765475377440453,"The Q1 2026 figure also represents an 8% YoY increase from the 336,681 units Tesla delivered in Q1 2025.",Tesla,0.03859475627541542,0.004556613974273205,0.956848680973053
absa_flat-139570229-6,absa_flat,139570229,6,"For 2026, analysts estimate Tesla to deploy over 65.2 GWh worth of batteries.",True,False,False,False,False,False,False,77,,,0.8189244270324707,0.007392130792140961,0.17368349432945251,"For 2026, analysts estimate Tesla to deploy over 65.2 GWh worth of batteries.",Tesla,0.03503930941224098,0.004367487970739603,0.9605932235717773
absa_flat-139902984-13,absa_flat,139902984,13,"Drivers include Cybercab pilot production at Giga Texas, Tesla Semi and Megapack 3 volume ramps in 2026, FSD active subscriptions at 1.28 million (+51% YoY), and AI5 chip tape-out completed in April.",True,False,False,False,False,False,False,199,,,0.2693570852279663,0.010943442583084106,0.719699501991272,"Drivers include Cybercab pilot production at Giga Texas, Tesla Semi and Megapack 3 volume ramps in 2026, FSD active subscriptions at 1.28 million (+51% YoY), and AI5 chip tape-out completed in April.",Tesla,0.07754474133253098,0.0051639629527926445,0.9172913432121277
absa_flat-139903984-3,absa_flat,139903984,3,"At the National Governors Association Summer Meeting in July 2017, the Tesla and SpaceX l aid out a vision that sounded almost too simple for a room filled with policymakers.",True,False,True,True,False,False,False,174,,,0.07116822153329849,0.028410568833351135,0.900421142578125,"At the National Governors Association Summer Meeting in July 2017, the Tesla and SpaceX l aid out a vision that sounded almost too simple for a room filled with policymakers.",Tesla,0.03697812557220459,0.0029373890720307827,0.9600845575332642
absa_flat-139923125-7,absa_flat,139923125,7,Don't Miss: NVIDIA & Tesla Steal the Spotlight — RAD Intel Emerges as an AI Stock Worth Watching Most Retirement Plans Ignore Taxes — See If Yours Does Munger answered first and kept it direct.,True,False,True,False,False,False,False,193,,,0.2517438232898712,0.010835424065589905,0.7374207377433777,Don't Miss: NVIDIA & Tesla Steal the Spotlight — RAD Intel Emerges as an AI Stock Worth Watching Most Retirement Plans Ignore Taxes — See If Yours Does Munger answered first and kept it direct.,Tesla,0.0962691605091095,0.02093321457505226,0.8827975392341614
absa_flat-139928252-25,absa_flat,139928252,25,But one thing too is what do you make of all the spending that they're doing right now?,True,False,False,False,False,True,False,87,63,67,0.036213219165802,0.04624658823013306,0.9175401329994202,But one thing too is what do you make of all the spending that Tesla're doing right now?,Tesla,0.0006308832089416683,0.006717863492667675,0.9926512837409973
absa_flat-140420918-21,absa_flat,140420918,21,"Earlier, Tesla Inc. (NASDAQ: TSLA ) CEO Elon Musk defended his tax record , saying he had paid over $10 billion in a single year and would likely face significant lifetime taxation, including high rates on stock options and potential estate taxes.",True,True,False,True,False,False,False,247,,,0.022653287276625633,0.8822129368782043,0.09513376653194427,"Earlier, Tesla Inc. (NASDAQ: TSLA ) CEO Elon Musk defended his tax record , saying he had paid over $10 billion in a single year and would likely face significant lifetime taxation, including high rates on stock options and potential estate taxes.",Tesla,0.0115575036033988,0.06400078535079956,0.9244416356086731
absa_flat-140427269-12,absa_flat,140427269,12,"Prior deals also included Tesla selling solar equipment and car parts to SpaceX, Tesla using SpaceX private jets, and Tesla using SpaceX to develop a special alloy for its Cybertruck.",True,False,True,True,False,False,False,183,,,0.08590041846036911,0.010714052245020866,0.9033854603767395,"Prior deals also included Tesla selling solar equipment and car parts to SpaceX, Tesla using SpaceX private jets, and Tesla using SpaceX to develop a special alloy for its Cybertruck.",Tesla,0.04173821955919266,0.009004331193864346,0.9492574334144592
absa_flat-140733574-4,absa_flat,140733574,4,That's why the 3-for-1 stock split that Tesla ( TSLA +3.80% ) announced in August 2022 got so much attention.,True,False,False,True,False,False,False,109,,,0.12366323918104172,0.019390283152461052,0.8569464683532715,That's why the 3-for-1 stock split that Tesla ( TSLA +3.80% ) announced in August 2022 got so much attention.,Tesla,0.01977813057601452,0.003827217034995556,0.9763946533203125
absa_flat-140735247-20,absa_flat,140735247,20,That basket maps to existing robotics revenue.,True,False,False,False,False,True,False,46,,,0.0645112693309784,0.01813599281013012,0.9173527359962463,That basket maps to existing robotics revenue.,Tesla,0.0038699880242347717,0.0031868417281657457,0.9929431080818176
absa_flat-140771555-4,absa_flat,140771555,4,"We are increasing our 2Q Tesla delivery estimates to 413K units, from 373K, supported by stronger regional sales trends.",True,False,False,False,False,False,False,120,,,0.9523725509643555,0.02143017202615738,0.02619728446006775,"We are increasing our 2Q Tesla delivery estimates to 413K units, from 373K, supported by stronger regional sales trends.",Tesla,0.06467544287443161,0.004094418603926897,0.9312301874160767
absa_flat-141056844-3,absa_flat,141056844,3,Ark also leaned into Tesla one of its long-running flagship holdings.,True,False,False,False,False,False,False,69,,,0.3494650721549988,0.008641045540571213,0.6418939232826233,Ark also leaned into Tesla one of its long-running flagship holdings.,Tesla,0.02446148172020912,0.002190839499235153,0.9733476638793945
absa_flat-141063911-11,absa_flat,141063911,11,"It represents arguably the biggest connection between Tesla and SpaceX, but far from the only one.",True,False,True,False,False,False,False,98,,,0.17290854454040527,0.01135636679828167,0.8157350420951843,"It represents arguably the biggest connection between Tesla and SpaceX, but far from the only one.",Tesla,0.03846577927470207,0.0034164239186793566,0.9581178426742554
absa_flat-141103169-174,absa_flat,141103169,174,They're actually going to close 75 of those.,True,False,False,False,False,True,False,44,0,4,0.2781110405921936,0.027900781482458115,0.6939881443977356,Tesla're actually going to close 75 of those.,Tesla,0.019119204953312874,0.006474475376307964,0.974406361579895
absa_flat-141103169-258,absa_flat,141103169,258,"The company is investing in some new product lines that it hopes will drive growth over the long-term, hopefully profitable growth.",True,False,False,False,False,True,False,131,0,11,0.9146865010261536,0.009075925685465336,0.07623761892318726,"Tesla is investing in some new product lines that it hopes will drive growth over the long-term, hopefully profitable growth.",Tesla,0.0563647523522377,0.007245948072522879,0.9363893270492554
absa_flat-141109788-16,absa_flat,141109788,16,Investor Ross Gerber thinks Tesla Inc. (NASDAQ: TSLA ),True,False,False,False,False,False,False,54,,,0.035721562802791595,0.028097236528992653,0.9361812472343445,Investor Ross Gerber thinks Tesla Inc. (NASDAQ: TSLA ),Tesla,0.0304799173027277,0.025232577696442604,0.9442875981330872
absa_flat-141109840-58,absa_flat,141109840,58,TSLA | TSLA Price Prediction) isn’t the only Mag Seven stock to think about buying after a brief plunge… There have been a lot of bears on the tail of Tesla (NASDAQ:,True,False,False,True,False,False,False,165,,,0.08485405892133713,0.1379917860031128,0.7771541476249695,TSLA | TSLA Price Prediction) isn’t the only Mag Seven stock to think about buying after a brief plunge… There have been a lot of bears on the tail of Tesla (NASDAQ:,Tesla,0.022222818806767464,0.04839950427412987,0.9293777346611023
absa_flat-141117195-173,absa_flat,141117195,173,"Jason, the other piece that caught my eye is the robotaxi business; for years has been the future of Tesla.",True,False,False,False,False,False,False,107,,,0.048712439835071564,0.02607799507677555,0.9252095818519592,"Jason, the other piece that caught my eye is the robotaxi business; for years has been the future of Tesla.",Tesla,0.007165834307670593,0.005804148502647877,0.9870299696922302
absa_flat-141122355-404,absa_flat,141122355,404,But it will be -- it will definitely be a bit working next year and in time for the scale up to high production of Tesla Semi.,True,False,False,False,False,False,False,126,,,0.7117336988449097,0.012834814377129078,0.27543148398399353,But it will be -- it will definitely be a bit working next year and in time for the scale up to high production of Tesla Semi.,Tesla,0.0038180542178452015,0.0022102007642388344,0.9939717650413513
absa_flat-141129155-36,absa_flat,141129155,36,"Getting there will require Musk to repeat the playbook he used at Tesla, where he raised an extraordinary amount of capital and turned an ambitious technological vision into a commercially viable business.",True,True,False,False,False,False,False,205,,,0.13878083229064941,0.012860738672316074,0.8483584523200989,"Getting there will require Musk to repeat the playbook he used at Tesla, where he raised an extraordinary amount of capital and turned an ambitious technological vision into a commercially viable business.",Tesla,0.07711384445428848,0.006002003327012062,0.9168840646743774
absa_flat-141137158-8,absa_flat,141137158,8,"The chips would support Tesla vehicles and Optimus robots, along with SpaceX satellites and AI data centers.",True,False,True,False,False,False,False,108,,,0.12318947166204453,0.00839872658252716,0.8684118390083313,"The chips would support Tesla vehicles and Optimus robots, along with SpaceX satellites and AI data centers.",Tesla,0.008716415613889694,0.0013314116513356566,0.9899521470069885
absa_flat-141140361-10,absa_flat,141140361,10,"In April, Tesla broke ground on a smaller research facility at its Giga Texas campus near Austin.",True,False,False,True,False,False,False,97,,,0.20358645915985107,0.010009298101067543,0.7864042520523071,"In April, Tesla broke ground on a smaller research facility at its Giga Texas campus near Austin.",Tesla,0.031301986426115036,0.006137685384601355,0.9625604152679443
agree_strong-136478880-12,agree_strong,136478880,12,"Shipments from Tesla's Shanghai plant have declined in six of the first seven months this year, with July deliveries down 8.4% from a year ago.",True,False,False,True,False,False,False,143,,,0.006528901867568493,0.9741887450218201,0.019282393157482147,"Shipments from Tesla's Shanghai plant have declined in six of the first seven months this year, with July deliveries down 8.4% from a year ago.",Tesla,0.031226566061377525,0.16977161169052124,0.7990018725395203
