sample_id,stratum,absa_aspect,text,label,confidence,notes
ceo_only-138298440-2,ceo_only,Starlink,"The combination would bring ​Musk's rockets, Starlink satellites, X social media platform and Grok chatbot under one roof, according to a person briefed on the matter and two regulatory filings.",,,
anaphora_resolved-136861504-7,anaphora_resolved,Tesla,"It has factored in a 30,000 unit quarter-on-quarter headwind.",,,
comparative-140438083-26,comparative,Tesla,"With that, Tesla holds about 19 million shares of SpaceX. Moving on, Tesla and SpaceX are doubling down on AI.",,,
direct-140772785-38,direct,Tesla,"Tesla (NASDAQ:TSLA | TSLA Price Prediction) shares have staged a sharp rebound heading into the Q2 delivery release, and my… I’m going to put the verdict at the top.",,,
direct-141122355-5,direct,Tesla,"Travis Axelrod: Good afternoon, everyone, and welcome to Tesla's Second Quarter 2026 Q&A Webcast.",,,
other_only-137649659-28,other_only,Nvidia,"AMD is a direct beneficiary of the AI boom, competing with Nvidia for data center and AI chip dominance.",,,
coref_resolved-136507868-34,coref_resolved,,"The company's execution has been very good, and that suggests that a positive outcome looks increasingly possible.",,,
comparative-137266456-27,comparative,Tesla,"If Thursday's results reaffirm improving margins and accelerating growth within AWS and its retail operations, Amazon could finally rejoin Alphabet and Tesla in leading the next leg of the Magnificent Seven rally.",,,
anaphora_resolved-138298409-19,anaphora_resolved,,"The company's capital expenditure guide for this year—$115 billion to $135 billion—exceeded Street estimates of around $110 billion, likely raising some eyebrows.",,,
coref_resolved-136523874-9,coref_resolved,,"It designs and manufactures critical components -- such as batteries, electronics, and more -- in-house to keep costs low and supply secure.",,,
ceo_only-136476575-8,ceo_only,Musk,The court also rejected Musk's claim that voters were not harmed by providing contact details.,,,
direct-139901582-57,direct,Tesla,"TSLA | TSLA Price Prediction) stock is up 8% in midday trading on Wednesday, rising from $364.20 to $392… Tesla (NASDAQ:",,,
coref_resolved-136507880-10,coref_resolved,Tesla,"This is an important distinction, because to live up to the stock's sky-high valuation , we're going to need fully unsupervised autonomous ride-sharing.",,,
anaphora_resolved-140725568-19,anaphora_resolved,,"The company lays out an ambitious plan to construct a vast AI computing infrastructure, starting on Earth but eventually extending into space.",,,
other_only-137274883-2,other_only,Amazon,"The new Rainier system marks a turning point for Amazon Web Services, positioning it to capture a larger share of booming AI training and inference demand that could add billions in revenue growth through 2026.",,,
other_only-139570977-24,other_only,Jpmorgan,"In November 2025, JPMorgan launched a deposit token for institutional clients, enabling payments via Coinbase 's (NASDAQ: COIN ) public blockchain Base and settling transactions in seconds.",,,
ceo_only-139553621-4,ceo_only,New York Times,The defendants said they left X on their own because of brand safety concerns after Musk gutted the platform’s content moderation team and told departing advertisers to “go f**k yourself” at a New York Times event.,,,
ceo_only-139553621-6,ceo_only,Musk,"A San Francisco jury found Musk liable last week for misleading Twitter investors during his 2022 buyout, a verdict that could cost him upward of $2.6 billion.",,,
other_only-140468528-14,other_only,SpaceX,"SpaceX includes the Starlink broadband satellite business, which is the connectivity aspect, as well as the xAI business, which it recently merged with.",,,
direct-138302984-13,direct,Tesla,"Likely one of the key factors behind the market's initial upbeat reaction to Tesla's earnings report, Tesla disclosed in its fourth-quarter update that its active FSD subscriptions rose 38% year over year.",,,
other_only-140728365-18,other_only,Justice Department,"This month, the Justice Department cleared Paramount Skydance's takeover of Warner Bros. Discovery , with no divestitures required, despite concerns from some antitrust staffers.",,,
coref_resolved-141082390-28,coref_resolved,,"Future Fund Managing Partner Gary Black is optimistic that the company’s R2 launch will expand the total addressable market, comparing it to several of the largest companies.",,,
comparative-139924102-2,comparative,Tesla,"Commentary focuses on how a combined group could link Tesla's electric vehicles, robotics and AI platforms with SpaceX's space and communications capabilities.",,,
direct-137627948-29,direct,Tesla,To End His Massive Tesla Short After 8 Years—Says He 'Bet On Tesla Dying' And Tried To 'Make $500 Million From Its Demise' originally appeared on Benzinga.com © 2025 Benzinga.com.,,,
other_only-138293133-4,other_only,Starlink,"The company now has a de facto monopoly on rocket launches, and its satellite internet division, Starlink, is reportedly a cash cow.",,,
anaphora_resolved-140754615-7,anaphora_resolved,,"It's a dizzying rise for a company that most consumers associated with the tiny memory cards that, back in the day, were commonly needed to boost PCs, smartphones, or other device storage.",,,
anaphora_resolved-141104220-25,anaphora_resolved,Tesla,"Ellison owns 41% of Oracle, a stake that has been boosted thanks to the company's aggressive buybacks in recent years.",,,
direct-139580179-9,direct,Tesla,"Due to a retooling shutdown at multiple production facilities in early 2025, Tesla's sales in Europe plunged 40% year over year in February of last year, to only 16,888 automobiles.",,,
coref_resolved-137884571-3,coref_resolved,Tesla,The stock hit an all-time high yesterday.,,,
comparative-138298440-6,comparative,Tesla,"Musk, the world's richest man, is CEO of SpaceX and artificial intelligence company xAI, ‌which controls X. He also runs Tesla, tunnel company The Boring Co and neurotechnology firm Neuralink.",,,
direct-136907447-13,direct,Tesla,More than 90% of Tesla's production stemmed from just two models: The Model 3 and the Model Y.,,,
comparative-140775511-28,comparative,Tesla,"The industry has also seen rapid growth in leveraged single-stock ETFs targeting companies such as Nvidia Corp. (NASDAQ: NVDA ) , Tesla Inc. (NASDAQ: TSLA ) and Strategy Inc. (NASDAQ: MSTR ) , while thematic funds focused on artificial intelligence, quantum computing, defense and infrastructure continue to expand the range of available investment strategies.",,,
direct-137884562-20,direct,Tesla,"Tesla may have begun as an electric car company, but today its ambitions are far loftier.",,,
ceo_only-141119665-23,ceo_only,SpaceX,Musk said SpaceX should exceed $100 billion in annualized revenue by December even if it “basically did nothing” beyond existing plans.,,,
other_only-139197277-21,other_only,BYD,The biggest question about BYD’s growth is whether it can elbow its way into the US.,,,
coref_resolved-136914558-23,coref_resolved,Tesla,It's good news for the EV maker even as it lowered its overall sales targets.,,,
anaphora_resolved-138298407-6,anaphora_resolved,,Its scalable business model and broad product offering support stable revenue streams and adaptability in a dynamic financial landscape.,,,
other_only-137614443-6,other_only,Melius Research,"Now, we may be on the verge of yet another fundamental shift, according to Melius Research analyst Rob Wertheimer.",,,
anaphora_resolved-137611218-24,anaphora_resolved,,No longer may the company be viewed as a manufacturing business.,,,
other_only-137237698-15,other_only,United Microelectronics,"Gain an insight into the universe of 189 Energy Transition Stocks , among which are United Microelectronics , Adani Enterprises and Shenzhen Envicool Technology , by clicking here.",,,
comparative-137614688-4,comparative,Tesla,"Even electric pickups such as Tesla ( NASDAQ:TSLA )'s Cybertruck have struggled to build durable buyer momentum, while General Motors and Stellantis have already trimmed their own electric-truck plans.",,,
ceo_only-140430669-36,ceo_only,Musk,Musk also defended xAI’s position on X in the heated AI race against OpenAI and Anthropic.,,,
comparative-138298479-39,comparative,Tesla,"Tesla Uber bull Dan Ives of Wedbush laid out what's ahead for investors, whether ""universal high income"" is achievable or not.",,,
coref_resolved-141081755-27,coref_resolved,,"Uh as that stock keeps sliding, how do you make this deal happen, right?",,,
