sample_id,context,target_sentence,highlighted_phrase,substituted_masked,referent,refers_to_tesla,substitution_span_ok,note
coref-141078954-2,"               Its average drawdown in a market shock runs more than double the broad market’s, and the recovery has ranged from a few months to nearly three years.
               Tesla (TSLA) stock trades near $308.85, roughly 37% below its 52-week high of $489.88.
>>> TARGET >>> Over the past month, it has given up 27%.
               This stretch includes its latest quarterly earnings release and a report raising questions about the future of its China business, though neither has been confirmed as the driver.","Over the past month, it has given up 27%.",it,"Over the past month, <NAME> has given up 27%.",,,,
coref-137266458-20,"               Robinhood's retail investors have demonstrated an appreciation for CEOs who think outside the box, and tend to pile into stocks that have blown the returns of the benchmark S&P 500 out of the water.
               Tesla certainly fits the bill on both accounts.
               But with Tesla stock closing out the previous week at north of $433 per share and sporting a $1.44 trillion market cap, it comes with plenty of risk -- and retail investors likely know it.
               Though it remains North America's leading EV manufacturer and the only pure-play EV company in North America that's generating a recurring profit, Tesla's gross vehicle margin has come under heavy pressure as competition picks up.
               Musk noted during Tesla's 2023 annual shareholder meeting that his company's pricing policy has everything to do with demand for its EVs .
>>> TARGET >>> Since the start of 2023, Musk has spearheaded more than a half-dozen sweeping price cuts for its EV fleet.
               Another red flag for Tesla is its CEO, Elon Musk.","Since the start of 2023, Musk has spearheaded more than a half-dozen sweeping price cuts for its EV fleet.",its,"Since the start of 2023, Musk has spearheaded more than a half-dozen sweeping price cuts for <NAME>'s EV fleet.",,,,
coref-139908240-16,"               But as I said, at the top, we're going to talk about Tesla here.
               Tesla reported an adjusted $0.41 per share and beat analyst expectations for vehicle deliveries, revenue, and earnings.
               But it did fall short ever so slightly on energy storage deliveries.
               Now, there's a lot of ways we could go here because it is Tesla.
               I'm sure, if we wanted to, we could do podcasts for the next five days on the earnings release alone.
>>> TARGET >>> But before we get too deep into it, I want to ask you guys, maybe one or two things that stood out to you either in the earnings release or the conference call.
               Jon Quast: Apologies to our listeners.","But before we get too deep into it, I want to ask you guys, maybe one or two things that stood out to you either in the earnings release or the conference call.",,,,,,
coref-140059715-6,"               He also slammed supporters of the company who were “blindly parrotting” Musk’s target of 20 million vehicle deliveries by 2030.
               The investor then shared that bullish supporters of the company needed to “give credence” to investors who have been “correctly cautious” on the automaker’s stock and “argued for greater marketing investment.”
               Musk, during Tesla’s first-quarter 2026 earnings call, shared that vehicles equipped with the Hardware 3 (HW3) chips would not be able to achieve unsupervised FSD, adding that the automaker could retrofit new hardware on vehicles with HW3 chips.
               Musk’s comments on the HW3 chip, as well as the need for improvements to the FSD system, led to analyst Gordon Johnson questioning why the automaker’s value , driven by self-driving pursuits, wasn’t evaporating after Musk’s comments during the earnings call.
               According to Benzinga Edge Rankings, Tesla offers poor Momentum, but excellent Growth.
>>> TARGET >>> It also fails to provide a favorable price trend in the Long term.
               Elon Musk did not immediately respond to Benzinga’s request for comments.",It also fails to provide a favorable price trend in the Long term.,It,<NAME> also fails to provide a favorable price trend in the Long term.,,,,
coref-141074957-6,"               Tesla is considering a separation of its China business to pave the way for a potential merger with SpaceX, the Wall Street Journal reported, ‌citing a person familiar with the talks.
               Reuters was unable to independently verify the report.
               ‌Tesla and SpaceX did not immediately respond to requests for comment.
               Below are key facts regarding Tesla's operations in China: THE GLOBAL PRODUCTION ​ENGINE Tesla's Gigafactory Shanghai began production in October 2019, becoming China's first wholly foreign-owned car plant and symbolising Beijing's opening of its automotive sector.
               The factory has since become Tesla's largest and most productive site globally, serving as its main export hub for Europe, Canada and the Asia-Pacific region.
>>> TARGET >>> The plant produces the Model 3 ‌compact sedan and Model Y sport ⁠utility vehicle and has annual production capacity of more than 950,000 vehicles, according to company data.
               The Shanghai factory accounted for more than half of its global ⁠vehicle deliveries in 2025, Grace Tao, Tesla vice president in charge of external relations in China has said.","The plant produces the Model 3 ‌compact sedan and Model Y sport ⁠utility vehicle and has annual production capacity of more than 950,000 vehicles, according to company data.",,,,,,
coref-137258403-16,"               However, the ETF’s 32% gains on a YTD basis outshine the stock’s returns over the same time frame.
               On Oct. 22, TSLA reported its Q3 results , and its shares closed up more than 2% in the following trading session.
               Its revenue stood at $28.1 billion, up 11.6% year over year.
               The company’s adjusted EPS declined 30.6% from the year-ago quarter to $0.50.
               For the current fiscal year, ending in December, analysts expect TSLA’s EPS to decline 44.1% to $1.14 on a diluted basis.
>>> TARGET >>> The company’s earnings surprise history is disappointing.
               It missed the consensus estimate in three of the last four quarters, while beating the forecast on another occasion.",The company’s earnings surprise history is disappointing.,The company’s,<NAME>'s earnings surprise history is disappointing.,,,,
coref-137228481-5,"               Musk's threats to leave Tesla could dramatically impact his own net worth, which is tied to Tesla's stock If shareholders don't approve Elon Musk's eye-popping pay package, valued at nearly $1 trillion , the world's richest man could walk away from the company, warned Tesla $TSLA 's chairman of the board in a note to shareholders on Monday.
               And if that were to happen, warned Chair Robyn Denholm, it could be devastating to the company's stock.
               “Without Elon, Tesla could lose significant value, as our company may no longer be valued for what we aim to become,” Denholm wrote.
               It's the latest move in a high-stakes game of chicken over the unprecedented pay package.
               Musk has argued it's less about the money and more about him getting increased voting power as the company pivots from solely manufacturing electric vehicles to also building humanoid robots.
>>> TARGET >>> Last week, on an earnings call, Musk himself lobbied for the pay package and made a similar threat, saying “If we build this robot army, do I have at least a strong influence over that robot army?
               I don’t feel comfortable building that robot army if I don’t have at least a strong influence.”","Last week, on an earnings call, Musk himself lobbied for the pay package and made a similar threat, saying “If we build this robot army, do I have at least a strong influence over that robot army?",,,,,,
coref-140476858-29,"               While the human narrowly won the challenge, the latest partnership with Catalyst Brands and the narrow loss could signal the future of implementing humanoid robots into warehouses, something that Amazon.com may have recently hinted at.
               See Also: Skip the Regrets: The Essential Retirement Tips Experts Wish Everyone Knew Earlier.
               Tesla CEO Elon Musk has argued that the Optimus Bot represents a multi-trillion-dollar opportunity for Tesla and could be the future of the company.
               Time will tell if Optimus starts landing robots deals like Figure that could strengthen the argument.
               Figure has raised money in several funding rounds, attracting investments from the likes of Jeff Bezos, Microsoft Corporation , NVIDIA Corporation , Intel Corporation , T-Mobile Ventures, LG Technology Ventures, Salesforce , Qualcomm Ventures , and OpenAI .
>>> TARGET >>> A Series C funding round in 2025 saw the company valued at $39 billion, with the new financing going towards building humanoid robots at scale.
               RH / Shutterstock.com Read Next: Think you're saving enough for your kids?","A Series C funding round in 2025 saw the company valued at $39 billion, with the new financing going towards building humanoid robots at scale.",the company,"A Series C funding round in 2025 saw <NAME> valued at $39 billion, with the new financing going towards building humanoid robots at scale.",,,,
coref-137258402-37,"               Tesla saw global revenue jump 12% year over year to $28.09 billion in the third quarter.
               However, operating margin dropped by 501 basis points year over year to 5.8%, reflecting the impact of the company's strategy of repeatedly reducing vehicle prices to boost sales volumes.
               To offset the effect of price cuts on profitability, the company has trimmed some features and offers lower battery size, less powerful motors, and fewer premium features.
               While these changes can help reduce costs, they also negatively affect the brand's premium image.
               Tesla's situation seems even more challenging in China.
>>> TARGET >>> The company's share of the Chinese EV market has dropped from 16% in 2020 to 4.4% in August due to intense competition from local EV players.
               Tesla's energy storage business has been showing strong traction.",The company's share of the Chinese EV market has dropped from 16% in 2020 to 4.4% in August due to intense competition from local EV players.,The company's,<NAME>'s share of the Chinese EV market has dropped from 16% in 2020 to 4.4% in August due to intense competition from local EV players.,,,,
coref-136913567-17,"               The uncertainty also complicates Federal Reserve policy considerations, as disrupted economic data and potential economic drag from reduced government activity could influence future rate decisions.
               Markets will closely monitor congressional negotiations and any signs of resolution or escalation, with safe-haven assets potentially benefiting from increased political risk while growth-sensitive sectors could face headwinds from uncertainty about government operations and economic data availability.
               Tesla Delivery Reality Check Tesla's ( TSLA ) third-quarter delivery numbers will provide crucial insights into electric vehicle demand trends, production efficiency, and the company's competitive positioning amid increasing EV market competition.
               The results will be closely scrutinized for evidence of demand stabilization or continued pressure from economic headwinds and competitive dynamics in key markets including China and Europe.
               Tesla's ability to meet delivery guidance will be particularly important given recent volatility in the stock and ongoing questions about the sustainability of EV adoption rates amid changing government incentives and economic uncertainty.
>>> TARGET >>> The delivery numbers will also influence broader EV sector sentiment and automotive supply chain stocks, making this a potentially market-moving release for transportation and technology sectors.
               Any significant deviation from expectations could trigger substantial volatility in Tesla shares and related investment themes.","The delivery numbers will also influence broader EV sector sentiment and automotive supply chain stocks, making this a potentially market-moving release for transportation and technology sectors.",,,,,,
