sample_id,about_tesla,substitution_correct,note
anaphora-139197276-33,no,no,"generic investing-principle sentence, no company identifiable"
anaphora-140754120-7,no,no,"too generic ('It's a wonderful business'), no identifiable company"
anaphora-141134038-39,no,no,"too generic ('It's the best choice'), no identifiable company"
anaphora-141104220-26,no,no,"refers to Oracle/Ellison, not Tesla"
ceo_only-139905684-33,no,na,"Musk personal X post, not about Tesla"
coref-137940251-14,no,na,"generic, no company identifiable"
anaphora-136907452-7,no,no,"generic business statement, no identifying content"
coref-137591343-24,no,no,Musk personal podcast quote; subst also breaks grammar ('Tesla want')
coref-138420812-9,yes,na,
coref-138300033-18,yes,yes,
anaphora-138295490-8,no,no,"generic revenue statement, no identifying content"
coref-137228475-5,yes,yes,
coref-140748153-2,no,no,"generic production/hiring statement, no identifying content"
coref-138292025-42,yes,yes,
anaphora-139187955-3,no,no,"describes lacking a rear touchscreen -- likely a competitor being compared to Tesla, not Tesla itself"
coref-140112595-25,yes,no,
ceo_only-140468528-10,no,na,"Musk personal philosophical quote, not about Tesla"
ceo_only-141042850-23,no,na,"Musk's predictions about AI/future generally, not Tesla business"
ceo_only-141113423-27,no,na,explicitly about Musk as SpaceX CEO
ceo_only-140133917-3,no,na,"about Musk's OpenAI comments, not Tesla"
ceo_only-138315759-1,no,na,Burry's quote about Musk personally
ceo_only-139903529-14,yes,na,
anaphora-141104907-24,no,no,"generic mission statement, sounds like a media company not Tesla"
anaphora-141080219-27,yes,yes,
anaphora-141142305-10,yes,yes,
coref-137884563-4,no,na,"'It' refers to a court/ruling, not Tesla itself"
ceo_only-136502638-10,yes,na,
ceo_only-140743075-1,no,na,"about Bezos, Zoox, Blue Origin -- not about Tesla"
ceo_only-139247003-28,yes,na,
anaphora-140035346-5,no,no,"about OpenAI founding dispute, 'the company' = OpenAI not Tesla"
anaphora-138291523-8,yes,yes,
anaphora-140724565-1,no,no,"refers to Socure, not Tesla"
anaphora-138310190-64,no,no,"vague meta-commentary, no clear company identified"
anaphora-140754120-5,no,no,"too generic ('wonderful business'), no identifiable company"
coref-140124518-36,yes,yes,
coref-141131616-12,yes,na,
coref-138290190-12,yes,yes,
coref-141109938-3,no,na,"compares 'these two companies' generically, no specific claim about Tesla"
ceo_only-141052996-30,no,na,"Musk criticized for his comments generally, not Tesla-specific"
anaphora-136851471-14,no,no,"refers to Telo (truck company), not Tesla"
ceo_only-136476572-13,no,na,"vague reference to 'the company's technology' for shows, no clear Tesla connection"
anaphora-141129157-20,no,no,"dividend payment -- Tesla has not historically paid dividends, likely wrong company"
anaphora-141104220-25,no,no,"explicitly about Oracle/Ellison, not Tesla"
coref-139187958-21,yes,yes,
ceo_only-139905684-19,no,na,"about OpenAI restructuring claim by Musk, not Tesla"
coref-141103169-113,no,na,"generic commentary about 'equipment maker' companies broadly, not identifying Tesla"
coref-141122355-108,yes,yes,
coref-141134037-27,yes,yes,
ceo_only-139591720-12,no,na,"Musk posting on X about trading platforms, not Tesla business"
anaphora-139903984-8,no,no,"too generic ('It's really reliable'), no identifiable company"
anaphora-140771169-9,yes,yes,
ceo_only-136522261-20,no,na,"about OpenAI's response to Musk litigation, not Tesla"
coref-136882898-1,yes,yes,
coref-137228482-31,yes,yes,
anaphora-136581241-43,no,no,"generic valuation-approach description, no identifying content"
coref-141066276-27,no,no,"generic financial metrics statement, no identifying content"
ceo_only-138304565-11,no,na,"about Musk's control over 'all three companies' generally, not specifically Tesla"
ceo_only-139588669-6,no,na,"about SpaceX/Starlink business specifically, not Tesla"
anaphora-139247002-8,no,no,"generic sales/demand recovery statement, no identifying content"
coref-141109936-23,no,no,"vague reference to unnamed 'they'/'their boss', ambiguous subject; subst grammar broken"
anaphora-137586696-6,no,no,"generic statement about price war among EV makers, 'It' unclear referent"
anaphora-137247656-77,no,no,"too generic/fragmentary, no identifiable company"
ceo_only-138291523-14,yes,na,
coref-141135779-3,no,no,"'rocket maker' = SpaceX, not Tesla; filing about SpaceX purchases from Tesla"
anaphora-141080219-29,no,no,"explicitly about Alphabet, not Tesla; subst substituted wrong span"
anaphora-139183653-45,no,no,"too generic/fragmentary ('It paid off right away'), no identifiable company"
coref-136892573-14,no,no,"generic Wall Street analyst rating comment, no identifying content"
coref-139909134-21,yes,yes,
coref-137897187-13,yes,yes,
coref-139167808-14,no,no,"generic 'not a diversionary tactic' statement, no identifying content"
anaphora-138306068-43,no,no,"ambiguous, 'AI race' capital-raising sounds more like Musk's xAI fundraising than Tesla"
anaphora-138507182-22,no,no,"'Its' refers to a different asset whose drop is contrasted with Tesla's rally, not Tesla itself"
anaphora-136525621-19,no,no,"describes ultra-luxury vehicles costing millions -- doesn't match Tesla, likely wrong company"
ceo_only-140035346-30,no,na,"about OpenAI founding motivation, not Tesla"
ceo_only-136890592-0,no,na,"garbled price-ticker spam text; substantive part is about xAI vs OpenAI lawsuit, not Tesla"
ceo_only-137649799-1,yes,na,
coref-138290179-11,no,no,"rambling transcript fragment, too vague/generic, no clear company identified; subst breaks grammar"
anaphora-138295577-21,no,no,"grandiose generic AI/robotics claim, ambiguous referent, too vague standalone"
anaphora-137247656-26,yes,yes,
coref-141109936-20,no,no,"vague 'their attention... lagging behind Musk's enthusiasm', ambiguous 'they', no clear company; subst grammar odd"
